offset,partition,topic,event_id,domain,kind,iso_instant,unix_second,revision_old,revision_new
6463283532,0,eqiad.mediawiki.recentchange,34b9e645-7d3f-43a8-b053-2e2e7b7798f7,it.wikipedia.org,log,2026-08-29T08:30:11.983Z,1787992211,,
6463283533,0,eqiad.mediawiki.recentchange,3b2b5014-8bee-4375-a227-412d3115a010,uk.wikipedia.org,edit,2026-08-29T08:30:12.029Z,1787992211,47000254,48719960
6463283534,0,eqiad.mediawiki.recentchange,8b65353f-36a0-47e0-87cf-92e32a67854e,commons.wikimedia.org,edit,2026-08-29T08:30:12.097Z,1787992211,492480324,1269159954
6463283535,0,eqiad.mediawiki.recentchange,232343ed-408e-4f77-9c00-9e38136fde28,ja.wikipedia.org,log,2026-08-29T08:30:12.147Z,1787992211,,
6463283536,0,eqiad.mediawiki.recentchange,383bf975-6aa4-4cf2-9176-c90c00fd0fb0,en.wikipedia.org,edit,2026-08-29T08:30:12.184Z,1787992210,1268628531,1371914391
6463283537,0,eqiad.mediawiki.recentchange,3aff3f87-fa3a-46de-b8bf-1df2c025b67c,www.wikidata.org,edit,2026-08-29T08:30:12.243Z,1787992211,2537674202,2537675934
6463283538,0,eqiad.mediawiki.recentchange,6bd76daf-43d9-4e4c-9e84-226fc183b393,commons.wikimedia.org,edit,2026-08-29T08:30:12.250Z,1787992211,1129773216,1269159953
6463283539,0,eqiad.mediawiki.recentchange,dd6421fb-f969-40ef-858e-f77845a8e642,www.wikidata.org,edit,2026-08-29T08:30:12.279Z,1787992212,1814068899,2537675935
6463283540,0,eqiad.mediawiki.recentchange,280149fe-bd5a-4a8c-8f05-9750ceffd51c,en.wikipedia.org,categorize,2026-08-29T08:30:12.307Z,1787992211,,
6463283541,0,eqiad.mediawiki.recentchange,e3785bf6-64ac-473b-bd5d-1975fbd91bd0,en.wikipedia.org,categorize,2026-08-29T08:30:12.328Z,1787992211,,
6463283542,0,eqiad.mediawiki.recentchange,ebde7b3f-ee7e-4fcc-a68f-2b8e35371fb8,da.wikipedia.org,edit,2026-08-29T08:30:12.498Z,1787992210,10752474,12344050
6463283543,0,eqiad.mediawiki.recentchange,a5e11888-ca8c-46dc-901c-08b32dcd248b,commons.wikimedia.org,edit,2026-08-29T08:30:12.603Z,1787992212,450318970,1269159957
6463283544,0,eqiad.mediawiki.recentchange,0eb6b879-be7c-46a8-8b1f-86fde42c2dfd,nl.wikipedia.org,edit,2026-08-29T08:30:12.618Z,1787992209,71815234,71848077
6463283545,0,eqiad.mediawiki.recentchange,d3541c43-a3fa-493b-abc2-54e57e3a6164,www.wikidata.org,edit,2026-08-29T08:30:12.626Z,1787992212,2446087880,2537675936
6463283546,0,eqiad.mediawiki.recentchange,84d61918-fc58-44ba-8e49-ce16a9743752,ce.wikipedia.org,edit,2026-08-29T08:30:12.641Z,1787992210,23712449,24422754
6463283547,0,eqiad.mediawiki.recentchange,5ab17957-2e56-4cd8-ad77-d7d549b96c3b,commons.wikimedia.org,log,2026-08-29T08:30:12.715Z,1787992211,,
6463283548,0,eqiad.mediawiki.recentchange,0c8dc436-481a-4cce-a966-df56b7cb7870,login.wikimedia.org,log,2026-08-29T08:30:12.752Z,1787992212,,
6463283549,0,eqiad.mediawiki.recentchange,3405cc8c-b1a6-4f18-9f26-f27c2dd076c0,ms.wikipedia.org,edit,2026-08-29T08:30:12.762Z,1787992211,6943544,6943837
6463283550,0,eqiad.mediawiki.recentchange,7cb2046f-24be-42d3-8368-9f47845346bd,commons.wikimedia.org,categorize,2026-08-29T08:30:12.868Z,1787992211,,
6463283551,0,eqiad.mediawiki.recentchange,f3cbc2ad-7b99-418a-a53f-84646efabd3b,ko.wikipedia.org,new,2026-08-29T08:30:12.875Z,1787992211,,42399851
6463283552,0,eqiad.mediawiki.recentchange,83132d8c-53a6-4e3d-85e8-ffcb54c3ed12,commons.wikimedia.org,log,2026-08-29T08:30:12.951Z,1787992211,,
6463283553,0,eqiad.mediawiki.recentchange,8bc6f7c5-590e-40b7-be13-e2f64144bd0c,commons.wikimedia.org,edit,2026-08-29T08:30:13.007Z,1787992212,1269050853,1269159958
6463283554,0,eqiad.mediawiki.recentchange,3b5348ae-b3d4-438c-819e-eb5aa211e792,ce.wikipedia.org,categorize,2026-08-29T08:30:13.029Z,1787992209,,
6463283555,0,eqiad.mediawiki.recentchange,5b192e30-c988-42cc-9f27-02571481ae9d,commons.wikimedia.org,edit,2026-08-29T08:30:13.153Z,1787992212,1019529429,1269159959
6463283556,0,eqiad.mediawiki.recentchange,3e842096-c0c3-4d35-8642-0f32a5154c06,www.wikidata.org,edit,2026-08-29T08:30:13.187Z,1787992212,2537675761,2537675938
6463283557,0,eqiad.mediawiki.recentchange,0ba911d5-33ee-4267-a38e-7bf5d9300265,www.mediawiki.org,log,2026-08-29T08:30:13.211Z,1787992213,,
6463283558,0,eqiad.mediawiki.recentchange,424d4b27-c9f4-4cc0-80ea-b6077583ec10,ce.wikipedia.org,categorize,2026-08-29T08:30:13.212Z,1787992207,,
6463283559,0,eqiad.mediawiki.recentchange,ee76a630-346c-48bd-9009-c325618b682f,commons.wikimedia.org,edit,2026-08-29T08:30:13.227Z,1787992212,1027784251,1269159960
6463283560,0,eqiad.mediawiki.recentchange,8d150f64-df0a-4ae6-aa0e-4b46bacd04b7,www.wikidata.org,new,2026-08-29T08:30:13.296Z,1787992212,,2537675937
6463283561,0,eqiad.mediawiki.recentchange,c85ee3a0-d09a-4e8a-92ee-35736cd66365,commons.wikimedia.org,edit,2026-08-29T08:30:13.366Z,1787992212,426191615,1269159961
6463283562,0,eqiad.mediawiki.recentchange,bcfded38-4346-4c6d-8812-08f49512664a,ko.wikipedia.org,categorize,2026-08-29T08:30:13.433Z,1787992211,,
6463283563,0,eqiad.mediawiki.recentchange,20556750-77d8-4774-bf92-2b94f99879c7,commons.wikimedia.org,categorize,2026-08-29T08:30:13.546Z,1787992212,,
6463283564,0,eqiad.mediawiki.recentchange,54de757d-f435-49ec-8665-a8747ccb43bf,commons.wikimedia.org,categorize,2026-08-29T08:30:13.566Z,1787992212,,
6463283565,0,eqiad.mediawiki.recentchange,0c06028f-1c18-4c62-b8f0-0d6107a9848b,commons.wikimedia.org,categorize,2026-08-29T08:30:13.586Z,1787992212,,
6463283566,0,eqiad.mediawiki.recentchange,d548c597-1c1c-44d8-8fe7-dc3629957b8d,zh.wikipedia.org,edit,2026-08-29T08:30:13.605Z,1787992207,94085056,94090706
6463283567,0,eqiad.mediawiki.recentchange,ad7218f7-c7e1-4d47-bdd5-6fff8f0dd360,commons.wikimedia.org,categorize,2026-08-29T08:30:13.605Z,1787992212,,
6463283568,0,eqiad.mediawiki.recentchange,78e61fd1-d22e-4cbe-bed9-27f973b7c54d,commons.wikimedia.org,edit,2026-08-29T08:30:13.634Z,1787992213,1263425360,1269159962
